Region;Gene
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
PCL;NA
